Estimate,Date,Customer Tags,City,Zip,Description,Amount,Labor,Materials,Subtotal,Job Tags,Job Status,Bid Employee,Crew,Job Type
8893,4/29/2019 9:00,,Denver,80238,Exterior Residential Painting - Resilience Exterior (Majestic Ultra Warranty),4880,4880,0,4880,Exterior,approved,1,,
8923-1,1/22/2019 9:00,noreview,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5325,4350,975,5325,My Website,approved,1,,
8923-2,1/22/2019 9:00,noreview,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4550,3350,1200,4550,,approved,1,,
8923-3,1/22/2019 9:00,noreview,Aurora,80016,Basement Drywall Patches,3160,3160,0,3160,,approved,1,,
8923-4,1/22/2019 9:00,noreview,Aurora,80016,Interior Painting-Entry/Hallways,6188,6188,0,6188,,approved,1,,
8926,1/2/2019 9:30,,Centennial ,80238,Prime New Texture,15410,13960,1450,15410,My Website,Awaiting Approval,1,,
8928,1/2/2019 11:30,,Denver,80238,Interior Paint-Main Level,5193,5193,0,5193,My Website,pro approved,1,,
8930,1/11/2019 12:30,,Denver,80211,Interior Painting-Main Space Walls,3435,2775,660,3435,My Website,declined,1,,
8931,,,Centennial,80015,Study-Ceiling,4305,4305,0,4305,,Awaiting Approval,1,,
8932-1,,,Centennial,80015,"Ceiling Scrape - Living Room, Dining Room, Upstairs Hallway",5960,5200,760,5960,,approved,1,,
8932-2,,,Centennial,80015,"Interior Painting - Living Room, Dining Room",4020,3260,760,4020,,pro approved,1,,
8933,1/21/2019 9:30,,Aurora,80016,Interior Paint - Piano Room,3590,2990,600,3590,My Website,approved,1,,
8934,,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4575,3785,1140,4925,,approved,1,,
8935,,,Aurora,80016,Entry and Family Room,1040,800,240,1040,,Awaiting Approval,1,,
8936,,"Archive,interior,80018,Exterior",Aurora,80018,Interior Painting,4880,3720,1160,4880,,Awaiting Approval,1,,
8937,,"Archive,Exterior",Aurora,80016,,0,0,0,0,,UNSCHEDULED,1,,
8939,1/27/2019 17:30,noreview,Denver,80238,Powder Room,5630,5630,0,5630,,approved,1,,
8943-1,2/4/2019 11:30,,Broomfield,80020,Entry,5520,4990,940,5930,My Website,approved,1,,
8940,1/30/2019 10:30,,Denver,80238,Siding Replacement,260,180,80,260,My Website,approved,1,,
8944,2/5/2019 11:30,,Parker,80134,Entry and Family Room,4990,4115,875,4990,"My Website,interior",Awaiting Approval,1,,
8941-1,,,Centennial,80016,Entry,6065,5085,980,6065,,Awaiting Approval,1,,
8941-2,,,Centennial,80016,TV-Entertainment Area,1780,1780,0,1780,,Awaiting Approval,1,,
8942,2/6/2019 15:30,,Aurora,80016,Measure and advise on ceiling painting,0,0,0,0,,SCHEDULED,1,,
8943-2,2/4/2019 11:30,,Broomfield,80020,Basement,1200,940,260,1200,,pro approved,1,,
8945,,,Castle Rock,80108,Kitchen Ceiling and Touch Ups,2790,2410,380,2790,,approved,1,,
8946,2/11/2019 9:00,,Erie,80516,Painting quotes - Exterior Paint Job: fresh and beautiful!,0,0,0,0,,SCHEDULED,1,,
8953,2/12/2019 15:30,,Denver ,80238,Exterior Residential Painting - Exterior Preparation,6120,5030,1090,6120,My Website,approved,1,,
8947,,,Arvada,80007,Interior Walls-Main Floor-Appx 3550 sq. ft. ,9840,9840,0,9840,,Awaiting Approval,1,,
8948,,,Broomfield,80020,Art Niche,4980,4200,780,4980,,Awaiting Approval,1,,
8949,,,Denver,80220,Exterior,0,0,0,0,,UNSCHEDULED,1,,
8950-1,,,Denver,80220,Exterior Residential Painting - SW Duration (Majestic  Warranty),5940,4700,1240,5940,Exterior,Awaiting Approval,1,,
8950-2,,,Denver,80220,Master Suite,960,680,280,960,,Awaiting Approval,1,,
8951-1,,,Erie,80516,Exterior Residential Painting - Left Elevation,6161,6161,0,6161,,approved,1,,
8951-2,,,Erie,80516,Exterior Residential Painting - Front Elevation,260,260,0,260,,approved,1,,
