,Estimate,Date,HCP Id,Customer Tags,Zip,Description,Amount,Labor,Materials,Win_Loss,Bid Employee,Crew,Latitude,Longitude,Total Income,Subcontractor,Total Supplies,Total Cost of Goods Sold,Net Income
0,8893,4/29/2019 9:00,24285495,,80238,Exterior Residential Painting - Resilience Exterior (Majestic Ultra Warranty),4880,4880,0,1,1,,39.756896,-104.884917,,,,,
1,8923-1,1/22/2019 9:00,27667312,noreview,80016,Exterior Residential Painting - Exterior Preparation,5325,4350,975,1,1,,39.598753,-104.690542,,,,,
2,8923-2,1/22/2019 9:00,27838971,noreview,80016,Exterior Residential Painting - Exterior Preparation,4550,3350,1200,1,1,,39.598753,-104.690542,,,,,
3,8923-3,1/22/2019 9:00,27839010,noreview,80016,Basement Drywall Patches,3160,3160,0,1,1,,39.598753,-104.690542,,,,,
4,8923-4,1/22/2019 9:00,27839020,noreview,80016,Interior Painting-Entry/Hallways,6188,6188,0,1,1,,39.598753,-104.690542,,,,,
5,8926,1/2/2019 9:30,27896327,,80238,Prime New Texture,15410,13960,1450,0,1,,39.771658,-104.882483,,,,,
6,8928,1/2/2019 11:30,27973957,,80238,Interior Paint-Main Level,5193,5193,0,1,1,,39.748081,-104.894355,,,,,
7,8930,1/11/2019 12:30,28326471,,80211,Interior Painting-Main Space Walls,3435,2775,660,0,1,,39.764896,-105.037111,,,,,
8,8931,,28763886,,80015,Study-Ceiling,4305,4305,0,0,1,,39.613193,-104.788658,,,,,
9,8932-1,,28825059,,80015,"Ceiling Scrape - Living Room, Dining Room, Upstairs Hallway",5960,5200,760,1,1,,39.619674,-104.795338,,,,,
10,8932-2,,28825281,,80015,"Interior Painting - Living Room, Dining Room",4020,3260,760,1,1,,39.619674,-104.795338,,,,,
11,8963,,30773867,,80015,Main Handrail System,4980,4000,980,0,1,,39.619674,-104.795338,,,,,
12,9508,,52718458,,80015,Demo,9880,9880,0,0,,,39.619674,-104.795338,,,,,
13,8933,1/21/2019 9:30,28932512,,80016,Interior Paint - Piano Room,3590,2990,600,1,1,,39.591697,-104.695017,,,,,
14,8934,,29127783,,80015,Exterior Residential Painting - Exterior Preparation,4575,3785,1140,1,1,,39.630202,-104.765543,,,,,
15,8935,,29333269,,80016,Entry and Family Room,1040,800,240,0,1,,39.62389,-104.702045,,,,,
16,8936,,29333397,"Archive,interior,80018,Exterior",80018,Interior Painting,4880,3720,1160,0,1,,39.646937,-104.734619,,,,,
17,8937,,29333447,"Archive,Exterior",80016,,0,0,0,1,1,,39.583852,-104.701817,,,,,
18,8939,1/27/2019 17:30,29333825,noreview,80238,Powder Room,5630,5630,0,1,1,,39.749702,-104.888853,,,,,
19,9759,,58897240,noreview,80238,Bedroom Furniture,2295,1885,410,0,,,39.749702,-104.888853,,,,,
